pathway	gene1 gene2
Hepatitis C	PIAS1	STAT1
Hepatitis C	YWHAQ	ARAF
Hepatitis C	GSK3B	CTNNB1
Hepatitis C	CFLAR	CASP8
Hepatitis C	CDKN1A	CDK2
Hepatitis C	PPP2CA	STAT1
Hepatitis C	PPP2CA	STAT1
Hepatitis C	RB1	E2F1
Hepatitis C	NFKB1	NFKBIA
Hepatitis C	NFKB1	NFKBIA
Hepatitis C	IRF3	IFNA1
Hepatitis C	IRF3	IFNG
Hepatitis C	IRF3	TNF
Hepatitis C	IRF3	CXCL10
Hepatitis C	NFKB1	TNF
Hepatitis C	NFKB1	CXCL10
Hepatitis C	IRF9	OAS1
Hepatitis C	IRF9	EIF2AK1
Hepatitis C	IRF9	IFIT1
Hepatitis C	IRF9	IRF7
Hepatitis C	IRF9	MX1
Hepatitis C	IRF9	RSAD2
Hepatitis C	STAT1	IRF9
Hepatitis C	TP53	CDKN1A
Hepatitis C	IFIT1	EIF3E
Hepatitis C	EGFR	GRB2
Hepatitis C	GRB2	SOS1
Hepatitis C	TNFRSF1A	TRADD
Hepatitis C	APAF1	CASP9
Hepatitis C	CASP8	CASP3
Hepatitis C	CHUK	NFKBIA
Hepatitis C	CHUK	NFKBIA
Hepatitis C	EIF2AK1	CHUK
Hepatitis C	EIF2AK1	CHUK
Hepatitis C	C05981	AKT3
Hepatitis C	C05981	AKT3
Hepatitis C	AKT3	GSK3B
Hepatitis C	AKT3	GSK3B
Hepatitis C	AKT3	BAD
Hepatitis C	AKT3	BAD
Hepatitis C	AKT3	CDKN1A
Hepatitis C	AKT3	CDKN1A
Hepatitis C	MAP2K1	MAPK1
Hepatitis C	MAP2K1	MAPK1
Hepatitis C	JAK1	STAT1
Hepatitis C	JAK1	STAT1
Hepatitis C	MAVS	TRAF3
Hepatitis C	C20935	OAS1
Hepatitis C	C20935	RNASEL
Hepatitis B	CHUK	NFKBIA
Hepatitis B	FASLG	FAS
Hepatitis B	FAS	FADD
Hepatitis B	CASP12	CASP3
Hepatitis B	APAF1	CASP9
Hepatitis B	CASP9	CASP3
Hepatitis B	PTK2B	SRC
Hepatitis B	SRC	GRB2
Hepatitis B	HRAS	ARAF
Hepatitis B	PRKCA	ARAF
Hepatitis B	ARAF	MAP2K1
Hepatitis B	ARAF	MAP2K1
Hepatitis B	MAP2K1	MAPK1
Hepatitis B	MAP2K1	MAPK1
Hepatitis B	MAPK8	JUN
Hepatitis B	MAPK8	SMAD4
Hepatitis B	HRAS	MAP3K1
Hepatitis B	IRAK4	TLR4
Hepatitis B	IRAK4	TRAF6
Hepatitis B	TRAF6	TAB1
Hepatitis B	MAPK14	JUN
Hepatitis B	MAPK8	SRC
Hepatitis B	TLR3	TICAM1
Hepatitis B	TICAM2	TICAM1
Hepatitis B	TLR4	TICAM2
Hepatitis B	DDX58	MAVS
Hepatitis B	IFIH1	MAVS
Hepatitis B	TGFBR1	SMAD2
Hepatitis B	TGFBR1	SMAD2
Hepatitis B	MAPK8	SMAD2
Hepatitis B	MAPK8	SMAD2
Hepatitis B	AKT3	CHUK
Hepatitis B	AKT3	CHUK
Hepatitis B	JAK1	STAT1
Hepatitis B	JAK1	STAT1
Hepatitis B	JAK1	STAT3
Hepatitis B	JAK1	STAT3
Hepatitis B	MAP3K7	CHUK
Hepatitis B	MAP3K7	CHUK
Hepatitis B	CHUK	NFKBIA
Hepatitis B	CHUK	NFKBIA
Hepatitis B	MAP3K7	MAP2K1
Hepatitis B	MAP3K7	MAP2K1
Hepatitis B	MAP2K1	MAPK1
Hepatitis B	MAP2K1	MAPK1
Hepatitis B	MAP2K1	MAPK14
Hepatitis B	MAP2K1	MAPK14
Hepatitis B	MAP2K1	MAPK8
Hepatitis B	MAP2K1	MAPK8
Hepatitis B	MAP3K7	MAP2K3
Hepatitis B	MAP3K7	MAP2K3
Hepatitis B	MAP3K7	MAP2K7
Hepatitis B	MAP3K7	MAP2K7
Hepatitis B	MAP2K3	MAPK14
Hepatitis B	MAP2K3	MAPK14
Hepatitis B	MAPK8	JUN
Hepatitis B	MAPK8	JUN
Hepatitis B	PIK3CA	AKT3
Hepatitis B	PIK3CA	AKT3
Hepatitis B	PIK3CA	AKT3
Hepatitis B	MAPK1	CREB3
Hepatitis B	MAPK1	CREB3
Hepatitis B	MAPK1	CREB3
Hepatitis B	NFKB1	NFKB1
Hepatitis B	BIRC5	CASP9
Hepatitis B	BIRC5	CASP3
Hepatitis B	SMAD2	CDKN1A
Hepatitis B	SMAD2	MYC
Hepatitis B	EGR2	FASLG
Hepatitis B	NFKB1	MMP9
Hepatitis B	NFKB1	BCL2
Hepatitis B	TP53	BAX
Hepatitis B	TP53	FAS
Hepatitis B	TP53	CDKN1A
Hepatitis B	FOS	MMP9
Hepatitis B	NFKB1	TNF
Hepatitis B	NFKB1	IL6
Hepatitis B	IRF3	IFNA1
Hepatitis B	IRF3	IFNB1
Hepatitis B	NFKB1	NFKBIA
Hepatitis B	NFKBIA	NFKB1
Hepatitis B	AKT3	BAD
Hepatitis B	AKT3	BAD
Hepatitis B	CCNE1	RB1
Hepatitis B	RB1	E2F1
Hepatitis B	NFATC1	TNF
Hepatitis B	BCL2	BAX
Hepatitis B	IFNA1	IFNAR1
Hepatitis B	TICAM1	TRAF3
Hepatitis B	MAVS	TRAF3
Hepatitis B	TRAF3	TBK1
Hepatitis B	EGR2	CREBBP
Hepatitis B	APAF1	CYCS
Hepatitis B	SMAD2	SMAD2
Hepatitis B	SMAD2	SMAD2
Hepatitis B	ATP6AP1	PRKCA
Hepatitis B	GRB2	SOS1
Hepatitis B	SOS1	HRAS
Hepatitis B	C00076	PTK2B
Measles	SLAMF1	SH2D1A
Measles	SH2D1A	FYN
Measles	FYN	SLAMF1
Measles	FYN	SLAMF1
Measles	SLAMF1	DOK1
Measles	DOK1	PRKCQ
Measles	DOK1	PRKCQ
Measles	CD3D	PIK3CA
Measles	CD3D	PIK3CA
Measles	CD28	PIK3CA
Measles	CD28	PIK3CA
Measles	IL2RA	PIK3CA
Measles	IL2RA	PIK3CA
Measles	PIK3CA	AKT3
Measles	PIK3CA	AKT3
Measles	AKT3	GSK3B
Measles	AKT3	GSK3B
Measles	IL2	IL2RA
Measles	IL2	IL2RA
Measles	IL2RA	JAK1
Measles	JAK1	STAT3
Measles	JAK1	STAT3
Measles	DDX58	MAVS
Measles	IFIH1	MAVS
Measles	CHUK	IRF7
Measles	CHUK	IRF7
Measles	TLR7	MYD88
Measles	MYD88	IRAK1
Measles	IRAK1	IRF7
Measles	IRAK1	IRF7
Measles	MAVS	IRF7
Measles	MAVS	IRF7
Measles	MAVS	NFKB1
Measles	MAVS	NFKB1
Measles	TLR2	MYD88
Measles	MYD88	IRAK1
Measles	IRAK1	TRAF6
Measles	NFKBIA	NFKB1
Measles	FCGR2B	IL12A
Measles	FCGR2B	IL12A
Measles	IFNA1	IFNAR1
Measles	IFNAR1	RACK1
Measles	RACK1	STAT1
Measles	IFNAR1	JAK1
Measles	JAK1	STAT1
Measles	JAK1	STAT1
Measles	STAT1	IRF9
Measles	IFNG	IFNGR1
Measles	IFNGR1	JAK1
Measles	JAK1	STAT1
Measles	JAK1	STAT1
Measles	STAT1	IRF9
Measles	CCND1	CDKN1B
Measles	FASLG	FAS
Measles	TNFSF10	TNFRSF10B
Measles	EIF2AK1	EIF2S1
Measles	EIF2AK1	EIF2S1
Measles	RCHY1	TP53
Measles	RCHY1	TP53
Measles	CBLB	PIK3CA
Measles	CBLB	PIK3CA
Measles	TNFAIP3	TRAF6
Measles	PRKCQ	IL13
Measles	PRKCQ	IL4
Measles	IRF3	IFNA1
Measles	IRF3	IFNB1
Measles	IRF7	IFNA1
Measles	IRF7	IFNB1
Measles	NFKB1	IFNA1
Measles	NFKB1	IFNB1
Measles	IRF9	OAS1
Measles	IRF9	ADAR
Measles	IRF9	MX1
Measles	TP73	BBC3
Human papillomavirus infection	WNT16...	FZD10
Human papillomavirus infection	FZD10	DVL1
Human papillomavirus infection	UBE3A	CTNNB1
Human papillomavirus infection	TLR3	TICAM1
Human papillomavirus infection	TICAM1	TRAF3
Human papillomavirus infection	PTK2	PXN
Human papillomavirus infection	TNF	TNFRSF1A
Human papillomavirus infection	TRADD	FADD
Human papillomavirus infection	FASLG	FAS
Human papillomavirus infection	FAS	FADD
Human papillomavirus infection	FADD	CASP8
Human papillomavirus infection	CASP8	CASP3
Human papillomavirus infection	PDGFRB	PIK3CA
Human papillomavirus infection	PIK3CA	C05981
Human papillomavirus infection	C05981	AKT3
Human papillomavirus infection	PDGFRB	GRB2
Human papillomavirus infection	EGF	EGFR
Human papillomavirus infection	EGFR	GRB2
Human papillomavirus infection	GRB2	SOS1
Human papillomavirus infection	SOS1	HRAS
Human papillomavirus infection	HRAS	RAF1
Human papillomavirus infection	C00584	PTGER4
Human papillomavirus infection	PTGER4	GNAS
Human papillomavirus infection	C00575	PRKACA
Human papillomavirus infection	PRKACA	CREB3
Human papillomavirus infection	JAG1	NOTCH1
Human papillomavirus infection	DVL1	GSK3B
Human papillomavirus infection	CREBBP	TP53
Human papillomavirus infection	TADA3	TP53
Human papillomavirus infection	PTEN	C05981
Human papillomavirus infection	PPP2R3B	AKT3
Human papillomavirus infection	RHEB	MTOR
Human papillomavirus infection	MTOR	RPS6KB1
Human papillomavirus infection	MTOR	RPS6KB1
Human papillomavirus infection	MTOR	EIF4EBP1
Human papillomavirus infection	MTOR	EIF4EBP1
Human papillomavirus infection	UBE3A	TP53
Human papillomavirus infection	RB1	E2F1
Human papillomavirus infection	AKT3	FOXO1
Human papillomavirus infection	MDM2	TP53
Human papillomavirus infection	TCIRG1	EGFR
Human papillomavirus infection	IRF3	IFNB1
Human papillomavirus infection	FOXO1	CDKN1B
Human papillomavirus infection	FOXO1	CDKN1A
Human papillomavirus infection	TP53	CDKN1B
Human papillomavirus infection	TP53	CDKN1A
Human papillomavirus infection	IRF1	IFNB1
Human papillomavirus infection	CREB3	PTGER4
Human papillomavirus infection	EGFR	PTGS2
Human papillomavirus infection	LFNG	NOTCH1
Human papillomavirus infection	E2F1	CCNA2
Human papillomavirus infection	E2F1	CCNE1
Human papillomavirus infection	PRKACA	BAX
Human papillomavirus infection	PRKACA	BAX
Human papillomavirus infection	AKT3	BAD
Human papillomavirus infection	AKT3	BAD
Human papillomavirus infection	AKT3	GSK3B
Human papillomavirus infection	AKT3	GSK3B
Human papillomavirus infection	GSK3B	CCND1
Human papillomavirus infection	GSK3B	CCND1
Human papillomavirus infection	AKT3	CHUK
Human papillomavirus infection	AKT3	CHUK
Human papillomavirus infection	AKT3	MDM2
Human papillomavirus infection	AKT3	MDM2
Human papillomavirus infection	CHUK	NFKB1
Human papillomavirus infection	CHUK	NFKB1
Human papillomavirus infection	EGFR	PIK3CA
Human papillomavirus infection	EGFR	PIK3CA
Human papillomavirus infection	GNAS	C00575
Human papillomavirus infection	GNAS	C00575
Human papillomavirus infection	CTNNB1	TERT
Human papillomavirus infection	TERT	TCF7
Human papillomavirus infection	AKT3	VEGFA
Human papillomavirus infection	AKT3	VEGFA
Human papillomavirus infection	RAF1	MAP2K1
Human papillomavirus infection	RAF1	MAP2K1
Human papillomavirus infection	MAP2K1	MAPK1
Human papillomavirus infection	MAP2K1	MAPK1
Human papillomavirus infection	PTGS2	C00584
Human papillomavirus infection	STAT1	STAT2
Human papillomavirus infection	STAT2	STAT1
Human papillomavirus infection	PSMC1	RB1
Human papillomavirus infection	UBE3A	NFX1
Human papillomavirus infection	NFX1	TERT
Human T-cell leukemia virus 1 infection	ITGAL	ICAM1
Human T-cell leukemia virus 1 infection	ICAM1	ITGAL
Human T-cell leukemia virus 1 infection	B2M	HLA-A
Human T-cell leukemia virus 1 infection	ICAM1	HRAS
Human T-cell leukemia virus 1 infection	HRAS	MAP2K1
Human T-cell leukemia virus 1 infection	MAP2K1	MAPK1
Human T-cell leukemia virus 1 infection	IL2RB	JAK1
Human T-cell leukemia virus 1 infection	PIK3CA	C05981
Human T-cell leukemia virus 1 infection	C05981	AKT3
Human T-cell leukemia virus 1 infection	DLG1	PTEN
Human T-cell leukemia virus 1 infection	IKBKG	CHUK
Human T-cell leukemia virus 1 infection	CHUK	NFKB2
Human T-cell leukemia virus 1 infection	ADCY1	C00575
Human T-cell leukemia virus 1 infection	C00575	PRKACA
Human T-cell leukemia virus 1 infection	AKT3	JUN
Human T-cell leukemia virus 1 infection	AKT3	JUN
Human T-cell leukemia virus 1 infection	TNFRSF1A	MAP3K1
Human T-cell leukemia virus 1 infection	TNFRSF1A	MAP3K1
Human T-cell leukemia virus 1 infection	TNFRSF1A	MAP3K3
Human T-cell leukemia virus 1 infection	TNFRSF1A	MAP3K3
Human T-cell leukemia virus 1 infection	IL1R1	MAP3K3
Human T-cell leukemia virus 1 infection	IL1R1	MAP3K3
Human T-cell leukemia virus 1 infection	CD3D	MAP3K3
Human T-cell leukemia virus 1 infection	CD3D	MAP3K3
Human T-cell leukemia virus 1 infection	LTBR	MAP3K14
Human T-cell leukemia virus 1 infection	LTBR	MAP3K14
Human T-cell leukemia virus 1 infection	CD40	MAP3K14
Human T-cell leukemia virus 1 infection	CD40	MAP3K14
Human T-cell leukemia virus 1 infection	TNFRSF13C	MAP3K14
Human T-cell leukemia virus 1 infection	TNFRSF13C	MAP3K14
Human T-cell leukemia virus 1 infection	TGFB1	TGFBR1
Human T-cell leukemia virus 1 infection	MYC	CCND2
Human T-cell leukemia virus 1 infection	NFATC1	IL2
Human T-cell leukemia virus 1 infection	STAT5A	IL2
Human T-cell leukemia virus 1 infection	NFYB	HLA-DMA
Human T-cell leukemia virus 1 infection	CREB3	CCND1
Human T-cell leukemia virus 1 infection	TCF3	POLB
Human T-cell leukemia virus 1 infection	TCF3	LCK
Human T-cell leukemia virus 1 infection	TCF3	BAX
Human T-cell leukemia virus 1 infection	TCF3	CDKN2C
Human T-cell leukemia virus 1 infection	MYC	TERT
Human T-cell leukemia virus 1 infection	FDPS	HRAS
Human T-cell leukemia virus 1 infection	FDPS	HRAS
Human T-cell leukemia virus 1 infection	PTTG2...	ESPL1
Human T-cell leukemia virus 1 infection	MAP3K1	MAP2K4
Human T-cell leukemia virus 1 infection	MAP3K1	MAP2K4
Human T-cell leukemia virus 1 infection	MAP2K4	MAPK8
Human T-cell leukemia virus 1 infection	MAP2K4	MAPK8
Human T-cell leukemia virus 1 infection	MAPK8	JUN
Human T-cell leukemia virus 1 infection	MAPK8	JUN
Human T-cell leukemia virus 1 infection	MAP3K14	CHUK
Human T-cell leukemia virus 1 infection	MAP3K14	CHUK
Human T-cell leukemia virus 1 infection	TGFBR1	SMAD2
Human T-cell leukemia virus 1 infection	TGFBR1	SMAD2
Human T-cell leukemia virus 1 infection	PRKACA	CREB3
Human T-cell leukemia virus 1 infection	PRKACA	CREB3
Human T-cell leukemia virus 1 infection	RB1	E2F1
Human T-cell leukemia virus 1 infection	CALR	C00076
Human T-cell leukemia virus 1 infection	CALR	C00076
Human T-cell leukemia virus 1 infection	CANX	C00076
Human T-cell leukemia virus 1 infection	CANX	C00076
Human T-cell leukemia virus 1 infection	C00076	PPP3CA
Human T-cell leukemia virus 1 infection	PPP3CA	NFATC1
Human T-cell leukemia virus 1 infection	PPP3CA	NFATC1
Human T-cell leukemia virus 1 infection	JAK1	STAT5A
Human T-cell leukemia virus 1 infection	JAK1	STAT5A
Human T-cell leukemia virus 1 infection	ATM	CHEK1
Human T-cell leukemia virus 1 infection	ATM	CHEK1
Human T-cell leukemia virus 1 infection	CHEK1	TP53
Human T-cell leukemia virus 1 infection	CHEK1	TP53
Human T-cell leukemia virus 1 infection	ANAPC10	PTTG2...
Human T-cell leukemia virus 1 infection	ANAPC10	PTTG2...
Human T-cell leukemia virus 1 infection	ANAPC10	CCNB2
Human T-cell leukemia virus 1 infection	ANAPC10	CCNB2
Human T-cell leukemia virus 1 infection	MAD2L1	CDC20
Human T-cell leukemia virus 1 infection	BUB1B	JUN
Human T-cell leukemia virus 1 infection	JUN	MMP7
Human T-cell leukemia virus 1 infection	NFKB1	IL2
Human T-cell leukemia virus 1 infection	NFKB1	IL2RA
Human T-cell leukemia virus 1 infection	NFKB1	IL15
Human T-cell leukemia virus 1 infection	NFKB1	IL15RA
Human T-cell leukemia virus 1 infection	NFKB1	IL6
Human T-cell leukemia virus 1 infection	NFKB1	CSF2
Human T-cell leukemia virus 1 infection	NFKB1	LTA
Human T-cell leukemia virus 1 infection	NFKB1	BCL2L1
Human T-cell leukemia virus 1 infection	NFKB1	XIAP
Human T-cell leukemia virus 1 infection	NFKB2	IL2
Human T-cell leukemia virus 1 infection	NFKB2	IL2RA
Human T-cell leukemia virus 1 infection	NFKB2	IL15
Human T-cell leukemia virus 1 infection	NFKB2	IL15RA
Human T-cell leukemia virus 1 infection	NFKB2	IL6
Human T-cell leukemia virus 1 infection	NFKB2	CSF2
Human T-cell leukemia virus 1 infection	NFKB2	LTA
Human T-cell leukemia virus 1 infection	NFKB2	BCL2L1
Human T-cell leukemia virus 1 infection	NFKB2	XIAP
Human T-cell leukemia virus 1 infection	TNF	TNFRSF1A
Human T-cell leukemia virus 1 infection	TP53	CDKN1A
Human T-cell leukemia virus 1 infection	PTEN	C05981
Human T-cell leukemia virus 1 infection	NFKBIA	NFKB1
Epstein-Barr virus infection	HLA-A	B2M
Epstein-Barr virus infection	TLR2	MYD88
Epstein-Barr virus infection	MYD88	IRAK1
Epstein-Barr virus infection	IRAK1	TAB1
Epstein-Barr virus infection	DDX58	MAVS
Epstein-Barr virus infection	MAVS	TRAF3
Epstein-Barr virus infection	FAS	FADD
Epstein-Barr virus infection	EIF2AK2	FADD
Epstein-Barr virus infection	FADD	CASP8
Epstein-Barr virus infection	CASP8	CASP3
Epstein-Barr virus infection	CASP8	BID
Epstein-Barr virus infection	BID	BAK1
Epstein-Barr virus infection	CYCS	APAF1
Epstein-Barr virus infection	APAF1	CASP9
Epstein-Barr virus infection	CASP9	CASP3
Epstein-Barr virus infection	IFNA1	IFNAR1
Epstein-Barr virus infection	IFNAR1	JAK1
Epstein-Barr virus infection	IFNAR1	TYK2
Epstein-Barr virus infection	PIK3CA	C05981
Epstein-Barr virus infection	C05981	AKT3
Epstein-Barr virus infection	LYN	PIK3CA
Epstein-Barr virus infection	SYK	PIK3CA
Epstein-Barr virus infection	PIK3CA	C05981
Epstein-Barr virus infection	C05981	AKT3
Epstein-Barr virus infection	PIK3CA	RAC1
Epstein-Barr virus infection	IGH	LYN
Epstein-Barr virus infection	IGH	SYK
Epstein-Barr virus infection	PLCG2	C01245
Epstein-Barr virus infection	MDM2	TP53
Epstein-Barr virus infection	MDM2	TP53
Epstein-Barr virus infection	SKP2	CDKN1B
Epstein-Barr virus infection	SKP2	CDKN1B
Epstein-Barr virus infection	NEDD4	LYN
Epstein-Barr virus infection	NEDD4	LYN
Epstein-Barr virus infection	NEDD4	SYK
Epstein-Barr virus infection	NEDD4	SYK
Epstein-Barr virus infection	USP7	TP53
Epstein-Barr virus infection	SKP2	RB1
Epstein-Barr virus infection	SKP2	RB1
Epstein-Barr virus infection	CHUK	NFKBIA
Epstein-Barr virus infection	CHUK	NFKBIA
Epstein-Barr virus infection	MAP3K14	CHUK
Epstein-Barr virus infection	MAP3K14	CHUK
Epstein-Barr virus infection	CHUK	NFKB2
Epstein-Barr virus infection	CHUK	NFKB2
Epstein-Barr virus infection	MAP3K7	CHUK
Epstein-Barr virus infection	MAP3K7	CHUK
Epstein-Barr virus infection	CHUK	NFKBIA
Epstein-Barr virus infection	CHUK	NFKBIA
Epstein-Barr virus infection	MAP3K7	MAP2K7
Epstein-Barr virus infection	MAP3K7	MAP2K7
Epstein-Barr virus infection	MAP2K7	MAPK8
Epstein-Barr virus infection	MAP2K7	MAPK8
Epstein-Barr virus infection	MAP2K3	MAPK14
Epstein-Barr virus infection	MAP2K3	MAPK14
Epstein-Barr virus infection	MAPK8	JUN
Epstein-Barr virus infection	MAPK8	JUN
Epstein-Barr virus infection	MAPK14	JUN
Epstein-Barr virus infection	MAPK14	JUN
Epstein-Barr virus infection	RB1	E2F1
Epstein-Barr virus infection	NFKB1	NFKBIA
Epstein-Barr virus infection	BAK1	CYCS
Epstein-Barr virus infection	BAK1	CYCS
Epstein-Barr virus infection	NFKB1	TNF
Epstein-Barr virus infection	NFKB1	IL6
Epstein-Barr virus infection	IRF7	IFNA1
Epstein-Barr virus infection	IRF7	IFNB1
Epstein-Barr virus infection	IRF3	IFNA1
Epstein-Barr virus infection	IRF3	IFNB1
Epstein-Barr virus infection	RBPJL	CR2
Epstein-Barr virus infection	RBPJL	HES1
Epstein-Barr virus infection	RBPJL	FCER2
Epstein-Barr virus infection	RBPJL	RUNX3
Epstein-Barr virus infection	RBPJL	MYC
Epstein-Barr virus infection	TP53	CDKN1A
Epstein-Barr virus infection	TP53	GADD45G
Epstein-Barr virus infection	TP53	BAX
Epstein-Barr virus infection	TP53	BAK1
Epstein-Barr virus infection	TP53	DDB2
Epstein-Barr virus infection	TP53	POLK
Epstein-Barr virus infection	NFKB2	FCER2
Epstein-Barr virus infection	NFKB2	ENTPD8
Epstein-Barr virus infection	NFKB2	CD40
Epstein-Barr virus infection	NFKB2	CD44
Epstein-Barr virus infection	NFKB2	ITGAL
Epstein-Barr virus infection	NFKB2	CD58
Epstein-Barr virus infection	NFKB2	ICAM1
Epstein-Barr virus infection	NFKB2	VIM
Epstein-Barr virus infection	NFKB1	FCER2
Epstein-Barr virus infection	NFKB1	ENTPD8
Epstein-Barr virus infection	NFKB1	CD40
Epstein-Barr virus infection	NFKB1	CD44
Epstein-Barr virus infection	NFKB1	ITGAL
Epstein-Barr virus infection	NFKB1	CD58
Epstein-Barr virus infection	NFKB1	ICAM1
Epstein-Barr virus infection	NFKB1	VIM
Epstein-Barr virus infection	JUN	FCER2
Epstein-Barr virus infection	JUN	ENTPD8
Epstein-Barr virus infection	JUN	CD40
Epstein-Barr virus infection	JUN	CD44
Epstein-Barr virus infection	JUN	ITGAL
Epstein-Barr virus infection	JUN	CD58
Epstein-Barr virus infection	JUN	ICAM1
Epstein-Barr virus infection	JUN	VIM
Epstein-Barr virus infection	JUN	TNFAIP3
Epstein-Barr virus infection	JUN	BCL2
Epstein-Barr virus infection	NFKB2	TNFAIP3
Epstein-Barr virus infection	NFKB2	BCL2
Epstein-Barr virus infection	NFKB1	TNFAIP3
Epstein-Barr virus infection	NFKB1	BCL2
Epstein-Barr virus infection	TRAF3	PIK3CA
Epstein-Barr virus infection	TRAF3	PIK3CA
Epstein-Barr virus infection	TRAF3	MAP3K14
Epstein-Barr virus infection	TRAF3	MAP3K14
Epstein-Barr virus infection	TRADD	MAP3K14
Epstein-Barr virus infection	TRADD	MAP3K14
Epstein-Barr virus infection	LYN	LYN
Epstein-Barr virus infection	LYN	LYN
Epstein-Barr virus infection	SYK	SYK
Epstein-Barr virus infection	SYK	SYK
Pathways in cancer	CASP3	DCC
Pathways in cancer	PTK2	PIK3CA
Pathways in cancer	ABL1	STAT5A
Pathways in cancer	ABL1	GRB2
Pathways in cancer	TGFA	EGFR
Pathways in cancer	PDGFA	PDGFRA
Pathways in cancer	IGF1	IGF1R
Pathways in cancer	HGF	MET
Pathways in cancer	EGFR	PIK3CA
Pathways in cancer	EGFR	JAK1
Pathways in cancer	ERBB2	PIK3CA
Pathways in cancer	ERBB2	JAK1
Pathways in cancer	EGFR	PLCG1
Pathways in cancer	PDGFRA	PLCG1
Pathways in cancer	PDGFRA	GRB2
Pathways in cancer	PDGFRA	PIK3CA
Pathways in cancer	IGF1R	PLCG1
Pathways in cancer	IGF1R	GRB2
Pathways in cancer	IGF1R	PIK3CA
Pathways in cancer	KIT	PIK3CA
Pathways in cancer	KIT	GRB2
Pathways in cancer	FLT3	PIK3CA
Pathways in cancer	FLT3	GRB2
Pathways in cancer	MET	GRB2
Pathways in cancer	FGFR1	GRB2
Pathways in cancer	GRB2	SOS1
Pathways in cancer	SOS1	HRAS
Pathways in cancer	HRAS	ARAF
Pathways in cancer	HRAS	PIK3CA
Pathways in cancer	HRAS	RASSF1
Pathways in cancer	PRKCA	ARAF
Pathways in cancer	HRAS	RALGDS
Pathways in cancer	RALGDS	RALA
Pathways in cancer	RALA	RALBP1
Pathways in cancer	RALA	PLD1
Pathways in cancer	RALGDS	RHOA
Pathways in cancer	FASLG	FAS
Pathways in cancer	FAS	FADD
Pathways in cancer	FADD	CASP8
Pathways in cancer	CASP8	BID
Pathways in cancer	CYCS	CASP9
Pathways in cancer	DVL1	GSK3B
Pathways in cancer	PML	SPI1
Pathways in cancer	RUNX1	SPI1
Pathways in cancer	RUNX1	CEBPA
Pathways in cancer	MDM2	TP53
Pathways in cancer	SHH	PTCH1
Pathways in cancer	PTCH1	SMO
Pathways in cancer	AKT3	GSK3B
Pathways in cancer	AKT3	GSK3B
Pathways in cancer	AKT3	CASP9
Pathways in cancer	AKT3	CASP9
Pathways in cancer	AKT3	BAD
Pathways in cancer	AKT3	BAD
Pathways in cancer	AKT3	FOXO1
Pathways in cancer	AKT3	FOXO1
Pathways in cancer	AKT3	CDKN1B
Pathways in cancer	AKT3	CDKN1B
Pathways in cancer	AKT3	CDKN1A
Pathways in cancer	AKT3	CDKN1A
Pathways in cancer	AKT3	CHUK
Pathways in cancer	AKT3	CHUK
Pathways in cancer	CHUK	NFKBIA
Pathways in cancer	CHUK	NFKBIA
Pathways in cancer	AKT3	MTOR
Pathways in cancer	AKT3	MTOR
Pathways in cancer	AKT3	MDM2
Pathways in cancer	AKT3	MDM2
Pathways in cancer	JAK1	STAT3
Pathways in cancer	JAK1	STAT3
Pathways in cancer	JAK1	STAT1
Pathways in cancer	JAK1	STAT1
Pathways in cancer	ARAF	MAP2K1
Pathways in cancer	ARAF	MAP2K1
Pathways in cancer	MAP2K1	MAPK1
Pathways in cancer	MAP2K1	MAPK1
Pathways in cancer	MAPK1	JUN
Pathways in cancer	MAPK1	JUN
Pathways in cancer	MAPK1	FOS
Pathways in cancer	MAPK1	FOS
Pathways in cancer	MAPK1	MYC
Pathways in cancer	MAPK1	MYC
Pathways in cancer	RET	HRAS
Pathways in cancer	TFG	HRAS
Pathways in cancer	PRKCA	HRAS
Pathways in cancer	MDM2	TP53
Pathways in cancer	BAD	BCL2L1
Pathways in cancer	RALBP1	RAC1
Pathways in cancer	AR	KLK3
Pathways in cancer	LEF1	BIRC5
Pathways in cancer	LEF1	MYC
Pathways in cancer	LEF1	CCND1
Pathways in cancer	NFKB1	PTGS2
Pathways in cancer	NFKB1	NOS2
Pathways in cancer	NFKB1	BCL2
Pathways in cancer	NFKB1	BIRC8
Pathways in cancer	NFKB1	BCL2L1
Pathways in cancer	NFKB1	TRAF1
Pathways in cancer	NFKB1	CCND1
Pathways in cancer	STAT5A	BCL2L1
Pathways in cancer	STAT3	VEGFD
Pathways in cancer	STAT1	VEGFD
Pathways in cancer	JUN	VEGFD
Pathways in cancer	JUN	CXCL8
Pathways in cancer	JUN	MMP1
Pathways in cancer	JUN	CCND1
Pathways in cancer	JUN	CDK4
Pathways in cancer	FOS	VEGFD
Pathways in cancer	FOS	CXCL8
Pathways in cancer	FOS	MMP1
Pathways in cancer	FOS	CCND1
Pathways in cancer	FOS	CDK4
Pathways in cancer	MYC	VEGFD
Pathways in cancer	MYC	CXCL8
Pathways in cancer	MYC	MMP1
Pathways in cancer	MYC	CCND1
Pathways in cancer	MYC	CDK4
Pathways in cancer	JUP	PPARD
Pathways in cancer	JUP	MYC
Pathways in cancer	JUP	CCND1
Pathways in cancer	ZBTB17	CDKN2B
Pathways in cancer	EPAS1	SLC2A1
Pathways in cancer	EPAS1	VEGFD
Pathways in cancer	EPAS1	PDGFB
Pathways in cancer	EPAS1	TGFB1
Pathways in cancer	EPAS1	TGFA
